Feature,Importance
COH.C.alpha.b.FP2.i.C3,0.0
COH.C.alpha.b.FP2.j.Cz,0.0
COH.C.alpha.b.FP2.k.C4,0.0
COH.C.alpha.b.FP2.l.T4,0.0
COH.C.alpha.b.FP2.m.T5,0.0
COH.C.alpha.b.FP2.n.P3,0.0
COH.C.alpha.b.FP2.o.Pz,0.0
COH.C.alpha.b.FP2.p.P4,0.0
COH.C.alpha.b.FP2.q.T6,0.0
COH.C.alpha.b.FP2.r.O1,0.0
COH.C.alpha.b.FP2.s.O2,0.0
COH.C.alpha.c.F7.d.F3,0.0
COH.C.alpha.c.F7.e.Fz,0.0
COH.C.alpha.c.F7.f.F4,0.0
COH.C.alpha.c.F7.g.F8,0.0
COH.C.alpha.c.F7.h.T3,0.0
COH.C.alpha.c.F7.i.C3,0.0
COH.C.alpha.c.F7.j.Cz,0.0
COH.C.alpha.c.F7.k.C4,0.0
COH.C.alpha.c.F7.l.T4,0.0
COH.C.alpha.c.F7.m.T5,0.0
COH.C.alpha.c.F7.n.P3,0.0
COH.C.alpha.c.F7.o.Pz,0.0
COH.C.alpha.c.F7.p.P4,0.0
COH.C.alpha.c.F7.q.T6,0.0
COH.C.alpha.c.F7.r.O1,0.0
COH.C.alpha.c.F7.s.O2,0.0
COH.C.alpha.d.F3.e.Fz,0.0
COH.C.alpha.d.F3.f.F4,0.0
COH.C.alpha.d.F3.g.F8,0.0
COH.C.alpha.d.F3.h.T3,0.0
COH.C.alpha.d.F3.i.C3,0.0
COH.C.alpha.d.F3.j.Cz,0.0
COH.C.alpha.d.F3.k.C4,0.0
COH.C.alpha.d.F3.l.T4,0.0
COH.C.alpha.d.F3.n.P3,0.0
COH.C.alpha.d.F3.o.Pz,0.0
COH.C.alpha.d.F3.p.P4,0.0
COH.C.alpha.d.F3.q.T6,0.0
COH.C.alpha.d.F3.r.O1,0.0
COH.C.alpha.d.F3.s.O2,0.0
COH.C.alpha.e.Fz.f.F4,0.0
COH.C.alpha.e.Fz.g.F8,0.0
COH.C.alpha.e.Fz.h.T3,0.0
COH.C.alpha.e.Fz.i.C3,0.0
